RA_Decl,RA,Decl,Box_Offs_Rel_SUBJ_Cntr,Box_Obsv_Done,Search_Box_Center_DECaLS_DR8_URL,DECaLS_DR8_URL,Category,Observation_Included_In_Corresponding_PNG,Category_Descrption,Working Notes,GALEX_Highest_Color__Violet_White_Blue_Green_Yellow_grAy_browN__At-DECaLS-Contrast-0.9_DECaLS-Brightness-3-upward,DR8_Core_Color,DR8_Periphery_Color,DR_8_Resids_Features,DR_8_Resids_Core_Heatmap_Colors,DR_8_Resids_Outer_Mode_Heatmap_Colors,NED_Search_URL,Separator,NED_Nearest_Obj_ID,NED Redshift,NED_Search_Mag,Search_Box_Addr,matplotlib_color,Search_Box_Center_RA_Decl
"218.6234, -2.4310",218.6234,-2.431,"(-2, 0)",Y,http://www.legacysurvey.org/viewer?ra=218.6148&dec=-2.4444&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6234&dec=-2.431&layer=dr8&zoom=15,Splat,Y,,,G,Blue,,Noise,,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6234d%20-2.431d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(5, 6)",,"(218.6148, -2.4444)"
"218.6007, -2.4799",218.6007,-2.4799,"(-2, -1)",Y,http://www.legacysurvey.org/viewer?ra=218.6148&dec=-2.4761&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6007&dec=-2.4799&layer=dr8&zoom=15,Speck,Y,,,G,Purple,,Noise,,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6007d%20-2.4799d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(5, 5)",,"(218.6148, -2.4761)"
"218.6127, -2.4622",218.6127,-2.4622,"(-2, -1)",Y,http://www.legacysurvey.org/viewer?ra=218.6148&dec=-2.4761&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6127&dec=-2.4622&layer=dr8&zoom=15,RadialGradient,Y,,,A,Orange,Orange,Dot,Red,"Sides, Purple, Blue",https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6127d%20-2.4622d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(5, 5)",,"(218.6148, -2.4761)"
"218.6259, -2.4824",218.6259,-2.4824,"(-2, -1)",Y,http://www.legacysurvey.org/viewer?ra=218.6148&dec=-2.4761&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6259&dec=-2.4824&layer=dr8&zoom=15,Splat,Y,,,V,Blue-Purple,Blue,Bar,Purple,Black,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6259d%20-2.4824d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(5, 5)",,"(218.6148, -2.4761)"
"218.5989, -2.5071",218.5989,-2.5071,"(-2, -2)",Y,http://www.legacysurvey.org/viewer?ra=218.6148&dec=-2.5078&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.5989&dec=-2.5071&layer=dr8&zoom=15,Large Smear,Y,,,A,Blue,,Foreground Object,,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.5989d%20-2.5071d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(5, 4)",,"(218.6148, -2.5078)"
"218.5989, -2.5071",218.5989,-2.5071,"(-2, -2)",Y,http://www.legacysurvey.org/viewer?ra=218.6148&dec=-2.5078&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.5989&dec=-2.5071&layer=dr8&zoom=15,Oval,Y,,,G,Purple,,Black Area,Purple,"Purple,Green",https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.5989d%20-2.5071d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(5, 4)",,"(218.6148, -2.5078)"
"218.6018, -2.5221",218.6018,-2.5221,"(-2, -2)",Y,http://www.legacysurvey.org/viewer?ra=218.6148&dec=-2.5078&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6018&dec=-2.5221&layer=dr8&zoom=15,Large Cored Oval,Y,,,B,Blue,Blue,Dot,Orange,Foreground,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6018d%20-2.5221d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,WISEA J143424.44-023119.6,0.050404000000000004,,"(5, 4)",,"(218.6148, -2.5078)"
"218.6180, -2.5103",218.618,-2.5103,"(-2, -2)",Y,http://www.legacysurvey.org/viewer?ra=218.6148&dec=-2.5078&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.618&dec=-2.5103&layer=dr8&zoom=15,RadialGradient,Y,,,A,Blue-Gray,"Green,Purple",Black Areas,,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.618d%20-2.5103d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(5, 4)",,"(218.6148, -2.5078)"
"218.6259, -2.4982",218.6259,-2.4982,"(-2, -2)",Y,http://www.legacysurvey.org/viewer?ra=218.6148&dec=-2.5078&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6259&dec=-2.4982&layer=dr8&zoom=15,Speck,Y,,,G,Purple,,Noise,,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6259d%20-2.4982d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(5, 4)",,"(218.6148, -2.5078)"
"218.6308, -2.5106",218.6308,-2.5106,"(-2, -2)",Y,http://www.legacysurvey.org/viewer?ra=218.6148&dec=-2.5078&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6308&dec=-2.5106&layer=dr8&zoom=15,Round,Y,,,B,Orange,Purple,Red Rimmed Black,,Orange,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6308d%20-2.5106d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(5, 4)",,"(218.6148, -2.5078)"
"218.6046, -2.5301",218.6046,-2.5301,"(-2, -3)",Y,http://www.legacysurvey.org/viewer?ra=218.6148&dec=-2.5395&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6046&dec=-2.5301&layer=dr8&zoom=15,Large Cored Oval,Y,,,G,White-Orange,Blue,Bar,Red Bar,"Torus, Blue-Brown",https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6046d%20-2.5301d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,LCRS B143149.7-021842,0.050118,,"(5, 3)",,"(218.6148, -2.5395)"
"218.6103, -2.5407",218.6103,-2.5407,"(-2, -3)",Y,http://www.legacysurvey.org/viewer?ra=218.6148&dec=-2.5395&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6103&dec=-2.5407&layer=dr8&zoom=15,Speck,Y,,,Y,Purple,,Foreground Object,,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6103d%20-2.5407d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(5, 3)",,"(218.6148, -2.5395)"
"218.6131, -2.5458",218.6131,-2.5458,"(-2, -3)",Y,http://www.legacysurvey.org/viewer?ra=218.6148&dec=-2.5395&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6131&dec=-2.5458&layer=dr8&zoom=15,Smear,Y,,,B,Blue,,Noise,,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6131d%20-2.5458d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(5, 3)",,"(218.6148, -2.5395)"
"218.6261, -2.5418",218.6261,-2.5418,"(-2, -3)",Y,http://www.legacysurvey.org/viewer?ra=218.6148&dec=-2.5395&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6261&dec=-2.5418&layer=dr8&zoom=15,CoredOval,Y,,,G,Orange,Orange,Large Dot,Red,"Green,Blue Sides",https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6261d%20-2.5418d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(5, 3)",,"(218.6148, -2.5395)"
"218.6290, -2.5304",218.62900000000002,-2.5304,"(-2, -3)",Y,http://www.legacysurvey.org/viewer?ra=218.6148&dec=-2.5395&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.62900000000002&dec=-2.5304&layer=dr8&zoom=15,Speck,Y,,,A,Purple,,Noise, ,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.62900000000002d%20-2.5304d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(5, 3)",,"(218.6148, -2.5395)"
"218.652700 , -2.377600",218.6527,-2.3776,"(-1, 2)",Y,http://www.legacysurvey.org/viewer?ra=218.6485&dec=-2.381&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6527&dec=-2.3776&layer=dr8&zoom=15,Splat,Y,,,G,Red-Purple,,Noise,Noise,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6527d%20-2.3776d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,SDSS J143436.69-022239.2,,,"(6, 8)",,"(218.6485, -2.381)"
"218.6529, -2.3775",218.6529,-2.3775,"(-1, 2)",Y,http://www.legacysurvey.org/viewer?ra=218.6485&dec=-2.381&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6529&dec=-2.3775&layer=dr8&zoom=15,Splat,Y,,,G,Purple-Red,,Noise,Noise,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6529d%20-2.3775d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(6, 8)",,"(218.6485, -2.381)"
"218.653800 , -2.376500",218.6538,-2.3765,"(-1, 2)",Y,http://www.legacysurvey.org/viewer?ra=218.6485&dec=-2.381&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6538&dec=-2.3765&layer=dr8&zoom=15,Round,Y,,,G,Purple,,Noise,Noise,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6538d%20-2.3765d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,SDSS J143436.91-022235.8,,,"(6, 8)",,"(218.6485, -2.381)"
